,,,Высокий ,,,средний ,,,маленький ,,,вопрос ,,,,,,,,,,,,,,,
,93,,самолет,  aircraft,1,скорая помощь,  ambulance ,,аккордеон,  accordion,,Национальный парк,,  national park,,,,,,,,,,,,,
,,,американский футбол,  american football,1,муравей,  ant,,колокол,  bell,,Статуя Свободы,,  Statue of Liberty,1,,,,,,,,,,,,
28.01,3,,авокадо,  avocado,1,яблоко,  apple,,головной мозг,  brain,,,,,1,Объект ,Santa Claus ,Statue of Liberty,Cat,Snow,Sea,Flowers,Garden,Aircraft,Baby,Bird,American football
31.01,8,,ребенок ,  baby,1,художник,  artist at work ,,метла,  broom,,,,,,Время,30,31,35,28,40,26,33,30,29,35,39
01.02,8,,детская бутылка ,  baby bottle,1,палитра художника,  artist palette,,цепи,  chains,,,,,,Группа 1,2,0,44,8,56,51,22,11,29,49,4
02.02,8,,детская коляска,baby carriage,1,космонавт,  astronaut,,шахматы,  chess,,,,,,Группа 2,13,8,25,3,16,8,30,16,26,15,6
03.08,8,,бекон,  bacon,1,топор,  axe,,строитель,  construction worker,,,,,,Группа 3,8,2,1,3,4,9,39,19,31,17,14
04.08,3,,бадминтон,  badminton,1,рюкзак,  backpack,,крикет,cricket game,,,,,             подходит ассоциаций ,,23,10,70,14,76,68,91,46,86,81,24
07.08,9,,получение багажа,  baggage claim,1,барсук,  badger,,кинжал,  dagger,,,,,,,"545 объектов, в среднем 35 минут на объектов, 318 часов, в день около 8  объектов - около 2 месяцев + запас неделя ",,,,,,,,,,
08.08,1,,багетный хлеб,  baguette bread,1,банк,  bank,,детектив,  detective,,,,,,,,,,,,,,,,,
16.02,8,,воздушный шар,  balloon,1,корзина,  basket,,додо,  dodo,,,,,,,,,,,,,,,,,
17.02,8,,банан,  banana,1,летучая мышь,  bat,,Дракон,  dragon,,,,,,,,,,,,,,,,,
18.02,2,,денежная купюра,  banknote,1,аккумулятор,  battery,,ухо,  ear,,,,,,,,,,,,,,,,,
,,,барбекю,  barbecue,1,медведь,  bear,,эльф,  elf,,,,,,,,,,,,,,,,,
,,,бейсбол,  baseball,1,бобр,  beaver,,Эл. адрес,  email,,                                                                                                           ,,,,,,,,,,,,,,,
,,,баскетбол,  basketball,1,кровать,  bed,,Факс,  fax machine,,,,,,,,,,,,,,,,,
,,,ванна,  bathtub,1,пчела,  bee,,перо,  feather,,,,,,,,,,,,,,,,,
,,,пляж,  beach,1,жук,  beetle,,джинн,  genie,,,,,,,,,,,,,,,,,
,,,ягоды,  berries,1,болгарский перец,  bell pepper,,крюк,  hook,,,,,,,,,,,,,,,,,
,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,велосипед,  bicycle,1,зубр,  bison,,хижина,  hut,,,,,,,,,,,,,,,,,
,,,бильярд,  billiard,1,кость,  bone,,морской узел,  knot,,,,,,,,,,,,,,,,,
,,,птица,  bird,1,бумеранг,  boomerang,,лакросс,  lacrosse,,,,,,,,,,,,,,,,,
,,,Торт на день рождения,  birthday cake,1,сапоги,  boots,,легкие,  lungs,,,,,,,,,,,,,,,,,
,,,черника,  blueberries,1,кирпич,brick,,мамонт,  mammoth,,,,,,,,,,,,,,,,,
,,,бодибилдинг,  bodybuilding,1,портфель,  briefcase,,механик,  mechanic,,,,,,,,,,,,,,,,,
,,,книги,  books,1,брокколи,  broccoli,,микроб,  microbe,,,,,,,,,,,,,,,,,
,,,бутылка ,bottle,1,ведро,  bucket,,радио,  radio,,,,,,,,,,,,,,,,,
,,,букет,  bouquet,1,масло,  butter,,поиск в Интернете,  searching internet,,,,,,,,,,,,,,,,,
,,,боулинг,  bowling,1,верблюд,  camel,,швейная иголка,  sewing needle,,,,,,,,,,,,,,,,,
,,,заниматься боксом,boxing,1,морковь,  carrot,,щит,  shield,,,,,,,,,,,,,,,,,
,,,боксерская перчатка,  boxing glove,1,химия,  chemistry,,супергерой,superhero,,,,,,,,,,,,,,,,,
,,,мальчик,  boy,1,бурундук,  chipmunk,,цель со стрелкой,  target,,,,,,,,,,,,,,,,,
,,,хлеб,  bread,1,сигара,  cigar,,театральные маски,  theatre masks,,,,,,,,,,,,,,,,,
,,,мост,  bridge,1,сигарета,  cigarette,,вампир,  vampire,,,,,,,,,,,,,,,,,
,,,бургер и картофель фри,  burger and french fries,1,хлопушка,  clapperboard,,видеокассета,  videocassette,,,,,,,,,,,,,,,,,
,,,буррито,  burrito,1,глиняный кувшин,  clay jug,,карта мира,  world map,,,,,,,,,,,,,,,,,
,,,автобус,  bus,1,таракан,  cockroach,,гаечный ключ,  wrench,,,,,,,,,,,,,,,,,
,,,бабочка,  butterfly,1,комета,  comet,,Йоу йоу,  yo yo,,,,,,,,,,,,,,,,,
,,,кактус,  cactus,1,компас,  compass,,зомби,  zombie,,,,,,,,,,,,,,,,,
,,,кекс,  cake,1,компьютерная мышь,  computer mouse,,,,0,,,,,,,,,,,,,,,,
,,,камера,  camera,1,конфетти мяч,  confetti ball,,,,,,,,,,,,,,,,,,,,
,,,поход,  camping,1,корова,  cow,,,,,,,,,,,,,,,,,,,,
,,,свеча,  candle,1,краб,  crab,,,,,,,,,,,,,,,,,,,,
,,,конфеты,  candy,1,мелок,  crayon,,,,,,,,,,,,,,,,,,,,
,,,автомобиль,  car,1,кредитная карта,  credit card,,,,,,,,,,,,,,,,,,,,
,,,карусель,  carousel,1,крокодил,  crocodile,,,,,,,,,,,,,,,,,,,,
,,,замок,  castle,1,огурец,  cucumber,,,,,,,,,,,,,,,,,,,,
,,,Кот,  cat,1,циклон,  cyclone,,,,,,,,,,,,,,,,,,,,
,,,стул,  chair,1,лиственное дерево,  deciduous tree,,,,,,,,,,,,,,,,,,,,
,,,шампанское,  champagne,1,олень,  deer,,,,,,,,,,,,,,,,,,,,
,,,сыр,cheese,1,пустыня,  desert,,,,,,,,,,,,,,,,,,,,
,,,вишня,  cherry,1,настольный компьютер,  desktop computer,,,,,,,,,,,,,,,,,,,,
,,,дети,  children,1,динозавр,  dinosaur ,,,,,,,,,,,,,,,,,,,,
,,,шоколад,  chocolate,1,диск,  disk,,,,,,,,,,,,,,,,,,,,
,,,Рождественская елка,  christmas tree,1,доктор,  doctor,,,,,,,,,,,,,,,,,,,,
,,,церковь,  church,1,домино,  domino,,,,,,,,,,,,,,,,,,,,
,,,кино,  cinema,1,дрон,  drone,,,,,,,,,,,,,,,,,,,,
,,,цирк,  circus,1,утка,  duck,,,,,,,,,,,,,,,,,,,,
,,,город,  city,1,орел,  eagle,,,,,,,,,,,,,,,,,,,,
,,,городской пейзаж в сумерках,  cityscape at dusk,1,баклажан,  eggplant,,,,,,,,,,,,,,,,,,,,
,,,облако,  cloud,1,лифт,  elevator,,,,,,,,,,,,,,,,,,,,
,,,коктейль,  cocktail,1,глаза,  eyes,,,,,,,,,,,,,,,,,,,,
,,,бокал для коктейля,  cocktail glass,1,фабрика,  factory,,,,,,,,,,,,,,,,,,,,
,,,кокос,  coconut,1,рабочий,  factory worker,,,,,,,,,,,,,,,,,,,,
,,,кофе,  coffee,1,сказочный,  fairy,,,,,,,,,,,,,,,,,,,,
,,,монета,  coin,1,фалафель,  falafel,,,,,,,,,,,,,,,,,,,,
,,,магазин,  convenience store,1,фермер,  farmer,,,,,,,,,,,,,,,,,,,,
,,,печенье,  cookie,1,паром,  ferry,,,,,,,,,,,,,,,,,,,,
,,,Готовка,  cooking,1,хоккей на траве,  field hockey,,,,,,,,,,,,,,,,,,,,
,,,круассан,  croissant,,кинопроектор,  film-projector,,,,,,,,,,,,,,,,,,,,
,,,Корона,  crown,,пожарная машина,  fire engine,,,,,,,,,,,,,,,,,,,,
,,,кекс,  cupcake,,огнетушитель,  fire extinguisher,,,,,,,,,,,,,,,,,,,,
,,,кусок мяса,  cut of meat,,пожарный,  firefighter,,,,,,,,,,,,,,,,,,,,
,,,универмаг,  department store,,фламинго,  flamingo,,,,,,,,,,,,,,,,,,,,
,,,дискотека,  disco,,фонарик,  flashlight,,,,,,,,,,,,,,,,,,,,
,,,подводное плавание,  diving,1,летать,  fly,,,,,,,,,,,,,,,,,,,,
,,,собака,  dog,,летающий диск,  flying disc,,,,,,,,,,,,,,,,,,,,
,,,дельфин,  dolphin,,летающая тарелка,  flying saucer,,,,,,,,,,,,,,,,,,,,
,,,дверь,door,,туман,  fog,,,,,,,,,,,,,,,,,,,,
,,,пончик,  doughnut,,ступня нога,  foot,,,,,,,,,,,,,,,,,,,,
,,,барабан,  drum,,чеснок,  garlic,,,,,,,,,,,,,,,,,,,,
,,,кукурузный початок,  ear of corn,,козел,  country goat,,,,,,,,,,,,,,,,,,,,
,,,яйцо,  egg,,молоток,  hammer,,,,,,,,,,,,,,,,,,,,
,,,Электрогитара,  electric guitar,,хомяк,  hamster,,,,,,,,,,,,,,,,,,,,
,,,слон,  elephant,,еж,  hedgehog,,,,,,,,,,,,,,,,,,,,
,,,вечнозеленое дерево,  evergreen tree,,вертолет,  helicopter,,,,,,,,,,,,,,,,,,,,
,,,овца,  ewe,,куры,  hens,,,,,,,,,,,,,,,,,,,,
,,,семья,  family,,гибискус,  hibiscus,,,,,,,,,,,,,,,,,,,,
,,,ферма,  farm ,,бегемот,  hippopotamus,,,,,,,,,,,,,,,,,,,,
,,,колесо обозрения,  ferris wheel,,горшок меда,  honey pot,,,,,,,,,,,,,,,,,,,,
,,,Огонь,  fire,,кальян,  hookah,,,,,,,,,,,,,,,,,,,,
,,,фейерверк,  firecracker,,острый перец,  hot pepper,,,,,,,,,,,,,,,,,,,,
,,,фейерверк,  fireworks,,песочные часы,  hourglass,,,,,,,,,,,,,,,,,,,,
,,,рыба,  fish,,судья,  judge,,,,,,,,,,,,,,,,,,,,
,,,рыбная ловля,  fishing,1,кенгуру,  kangaroo,,,,,,,,,,,,,,,,,,,,
,,,лепешка,  flatbread,,летающий змей,  kite,,,,,,,,,,,,,,,,,,,,
,,,согнутые бицепсы,  flexed biceps,,ключ,  key,,,,,,,,,,,,,,,,,,,,
,,,цветок в горшке,  flower in pot,,киви,  kiwi fruit,,,,,,,,,,,,,,,,,,,,
,,,  ,  flowers,1,коала,  koala,,,,,,,,,,,,,,,,,,,,
,,,фондю,  fondue,,лестница,  ladder,,,,,,,,,,,,,,,,,,,,
,,,футбол,  football,,нога,  leg,,,,,,,,,,,,,,,,,,,,
,,,следы,  footprints,,леопард,  leopard,,,,,,,,,,,,,,,,,,,,
,,,лес,  forest,1,лампочка,  light bulb,,,,,,,,,,,,,,,,,,,,
,,,вилка и нож,  fork and knife,,лев,  lion,,,,,,,,,,,,,,,,,,,,
,,,фонтан,  fountain,1,ящерица,  lizard,,,,,,,,,,,,,,,,,,,,
,,,лиса,  fox,,лама,  llama,,,,,,,,,,,,,,,,,,,,
,,,картина в рамке,  framed picture,,маг,  mage,,,,,,,,,,,,,,,,,,,,
,,,жареный картофель,  french fries,,магия,  magic,,,,,,,,,,,,,,,,,,,,
,,,лягушка,  frog,,Волшебная палочка,  magic wand,,,,,,,,,,,,,,,,,,,,
,,,фрукты,  fruits,,магнит,  magnet,,,,,,,,,,,,,,,,,,,,
,,,морской котик,fur seal,,массаж,  massage,,,,,,,,,,,,,,,,,,,,
,,,сад,  garden,1,дыня,  melon,,,,,,,,,,,,,,,,,,,,
,,,жираф,  giraffe,,мегафон,  megaphone,,,,,,,,,,,,,,,,,,,,
,,,девочка,  girl,,микрофон,  microphone,,,,,,,,,,,,,,,,,,,,
,,,Стакан молока,  glass of milk,,микроскоп,  microscope,,,,,,,,,,,,,,,,,,,,
,,,очки,  glasses,,военный шлем,  military helmet,,,,,,,,,,,,,,,,,,,,
,,,очки защитные,  goggles,,мечеть,  mosque,,,,,,,,,,,,,,,,,,,,
,,,гольф,  golf,,комар,  mosquito,,,,,,,,,,,,,,,,,,,,
,,,выпускной колпак,  graduation cap,,мышь,  mouse,,,,,,,,,,,,,,,,,,,,
,,,виноград,  grapes,,мышеловка,  mouse trap,,,,,,,,,,,,,,,,,,,,
,,,зеленый салат,  green salad,,рот,  mouth,,,,,,,,,,,,,,,,,,,,
,,,сторожить,  guard,,Музыкальные ноты,  musical notes,,,,,,,,,,,,,,,,,,,,
,,,гитара,  guitar,,матрешки,nesting dolls,,,,,,,,,,,,,,,,,,,,
,,,прическа ,hairstyle,,газета,  newspaper,,,,,,,,,,,,,,,,,,,,
,,,гамбургер,  hamburger,,ниндзя,  ninja,,,,,,,,,,,,,,,,,,,,
,,,сумочка,  handbag,,нос,  nose,,,,,,,,,,,,,,,,,,,,
,,,рукопожатие,handclasp,,гайка и болт,  nut and bolt,,,,,,,,,,,,,,,,,,,,
,,,шапка,  hat,,осьминог,  octopus,,,,,,,,,,,,,,,,,,,,
,,,наушники,  headphones,,офисный рабочий,  office worker,,,,,,,,,,,,,,,,,,,,
,,,трава,  herb,,выдра,  otter,,,,,,,,,,,,,,,,,,,,
,,,лошадь,  horse,,сова,  owl,,,,,,,,,,,,,,,,,,,,
,,,скачки,  horse racing,,бумажный самолетик,  paper airplane,,,,,,,,,,,,,,,,,,,,
,,,больница,  hospital,,отпечатки лап,  paw prints,,,,,,,,,,,,,,,,,,,,
,,,хотдог,  hot dog,,таблетка,  pill,,,,,,,,,,,,,,,,,,,,
,,,отель,  hotel,1,пилот,  pilot,,,,,,,,,,,,,,,,,,,,
,,,дом,  house,,офицер полиции,  police officer,,,,,,,,,,,,,,,,,,,,
,,,дом с садом,  house with garden,,принц,  prince,,,,,,,,,,,,,,,,,,,,
,,,лед,  ice,,принцесса,  princess,,,,,,,,,,,,,,,,,,,,
,,,мороженое,  ice cream,,принтер,  printer,,,,,,,,,,,,,,,,,,,,
,,,хоккей на льду,  ice hockey,,енот,  raccoon,,,,,,,,,,,,,,,,,,,,
,,,кататься на коньках,  ice skate,,крыса,  rat,,,,,,,,,,,,,,,,,,,,
,,,насекомое,  insect,,чек,  receipt,,,,,,,,,,,,,,,,,,,,
,,,остров,  island,,красный бумажный фонарь,  red paper lantern,,,,,,,,,,,,,,,,,,,,
,,,каратэ,  karate,,туалет ,  restroom,,,,,,,,,,,,,,,,,,,,
,,,картинг,  karting,,носорог,  rhinoceros,,,,,,,,,,,,,,,,,,,,
,,,каяк,  kayak,,Лента,  ribbon,,,,,,,,,,,,,,,,,,,,
,,,целовать,  kiss,,рис,  rice,,,,,,,,,,,,,,,,,,,,
,,,клавиатура,  keyboard,,камень,  rock,,,,,,,,,,,,,,,,,,,,
,,,ноутбук,  laptop,,ракета,  rocket,,,,,,,,,,,,,,,,,,,,
,,,листовые зеленые,  leafy green,,рулон бумаги,  roll of paper,,,,,,,,,,,,,,,,,,,,
,,,лимон,  lemon,,спасательный жилет,  safety vest,,,,,,,,,,,,,,,,,,,,
,,,лимонад,  lemonade,,поваренная соль,  salt,,,,,,,,,,,,,,,,,,,,
,,,помада,  lipstick,,спутник,  satellite,,,,,,,,,,,,,,,,,,,,
,,,Омар,  lobster,,спутниковая антенна,  satellite antenna,,,,,,,,,,,,,,,,,,,,
,,,леденец,  lollipop,,ученый,  scientist,,,,,,,,,,,,,,,,,,,,
,,,багаж,  luggage,,скорпион,  scorpion,,,,,,,,,,,,,,,,,,,,
,,,человек,  man,,отвертка,  screwdriver,,,,,,,,,,,,,,,,,,,,
,,,манго,  mango,,акула,  shark,,,,,,,,,,,,,,,,,,,,
,,,форма боевых искусств,martial-arts-uniform,,синтоистский храм,  shinto shrine,,,,,,,,,,,,,,,,,,,,
,,,медаль,  medal,,корабль,  ship,,,,,,,,,,,,,,,,,,,,
,,,мясо на кости,  meat on bone,,тир,firing range,,,,,,,,,,,,,,,,,,,,
,,,мобильный телефон,  mobile phone,,душ,  shower,,,,,,,,,,,,,,,,,,,,
,,,Деньги,  money,,скунс,  skunk,,,,,,,,,,,,,,,,,,,,
,,,обезьяна,  monkey,,игровой автомат,  slot machine,,,,,,,,,,,,,,,,,,,,
,,,Луна,  moon,,улитка,  snail,,,,,,,,,,,,,,,,,,,,
,,,мотоцикл,  motorbike,,змея,  snake,,,,,,,,,,,,,,,,,,,,
,,,горная железная дорога,  mountain railway,,кроссовки,  sneakers,,,,,,,,,,,,,,,,,,,,
,,,горы,  mountains,1,мыло,  soap,,,,,,,,,,,,,,,,,,,,
,,,кружка пива,  mug of beer,,софтбол,  softball,,,,,,,,,,,,,,,,,,,,
,,,грибы,  mushrooms,,паук,  spider,,,,,,,,,,,,,,,,,,,,
,,,ночь со звездами,  night with stars,,ложка,  spoon,,,,,,,,,,,,,,,,,,,,
,,,блокнот ,  notebook,,кит,spouting-whale,,,,,,,,,,,,,,,,,,,,
,,,офисное здание,  office building,,Кальмар,  squid,,,,,,,,,,,,,,,,,,,,
,,,старик,  old man,,стетоскоп,  stethoscope,,,,,,,,,,,,,,,,,,,,
,,,старая женщина,  old woman,,меч,  sword,,,,,,,,,,,,,,,,,,,,
,,,оливка,  olive,,синагога,  synagogue,,,,,,,,,,,,,,,,,,,,
,,,лук,  onion,,такси,  taxi,,,,,,,,,,,,,,,,,,,,
,,,устрица,  oyster,,чашка без ручки,  teacup without handle,,,,,,,,,,,,,,,,,,,,
,,,рисование,  painting,,заварочный чайник,  teapot,,,,,,,,,,,,,,,,,,,,
,,,Пальма,  palm tree,1,плюшевый мишка,  teddy bear,,,,,,,,,,,,,,,,,,,,
,,,блины,  pancakes,,телескоп,  telescope,,,,,,,,,,,,,,,,,,,,
,,,панда,  panda,,телевидение,  television,,,,,,,,,,,,,,,,,,,,
,,,парашют,  parachute,,термометр,  thermometer,,,,,,,,,,,,,,,,,,,,
,,,попугай,  parrot,,нить,  thread,,,,,,,,,,,,,,,,,,,,
,,,вечеринка поппер,  party popper,,туалет,  toilet,,,,,,,,,,,,,,,,,,,,
,,,заграничный паспорт,  passport,,инструменты,  tools,,,,,,,,,,,,,,,,,,,,
,,,персик,  peach,,зуб,  tooth,,,,,,,,,,,,,,,,,,,,
,,,павлин,  peacock,,зубная щетка,  toothbrush,,,,,,,,,,,,,,,,,,,,
,,,арахис,  peanuts,,торнадо,  tornado,,,,,,,,,,,,,,,,,,,,
,,,груша,  pear,,трактор,  tractor,,,,,,,,,,,,,,,,,,,,
,,,ручка,  pen,,светофор,  traffic light,,,,,,,,,,,,,,,,,,,,
,,,карандаш,  pencil,,труба,  trumpet,,,,,,,,,,,,,,,,,,,,
,,,пингвин,  penguin,,тюльпан,  tulip,,,,,,,,,,,,,,,,,,,,
,,,люди обнимаются,  people hugging,,черепаха,  turtle,,,,,,,,,,,,,,,,,,,,
,,,люди борются,  wrestling,,зонтик,  umbrella,,,,,,,,,,,,,,,,,,,,
,,,человек на велосипеде,  person biking,,единорог,  unicorn,,,,,,,,,,,,,,,,,,,,
,,,человек ест ,person eating,1,видео игра,  video game,,,,,,,,,,,,,,,,,,,,
,,,человек скалолазание,  person climbing,,скрипка,  violin,,,,,,,,,,,,,,,,,,,,
,,,человек в постели,  person in bed,,вулкан,  volcano,,,,,,,,,,,,,,,,,,,,
,,,человек в позе лотоса,  person in lotus position,,водяной пистолет,  water pistol,,,,,,,,,,,,,,,,,,,,
,,,человек в медицинской маске,  person in medical mask,1,кит,  whale,,,,,,,,,,,,,,,,,,,,
,,,человек в смокинге,  person in tuxedo,,волк,  wolf,,,,,,,,,,,,,,,,,,,,
,,,бег трусцой,  person jogging,,древесина,  wood,,,,,,,,,,,,,,,,,,,,
,,,человек жонглирование,juggling,,червь,  worm,,,,,,,,,,,,,,,,,,,,
,,,гандбол,handball,,пряжа,  yarn,,,,,,,,,,,,,,,,,,,,
,,,человек играет в водное поло,  person playing water polo,,зебра,  zebra,,,,,,,,,,,,,,,,,,,,
,,,человек гребная лодка,  person rowing boat,,,,0,,,,,,,,,,,,,,,,,,,
,,,человек идущий,  person walking,1,,,,,,,,,,,,,,,,,,,,,,
,,,человек в тюрбане,  person wearing turban,,,,,,,,,,,,,,,,,,,,,,,
,,,человек с вуалью,  person with veil,,,,,,,,,,,,,,,,,,,,,,,
,,,духи,perfume,,,,,,,,,,,,,,,,,,,,,,,
,,,пианино,  piano,,,,,,,,,,,,,,,,,,,,,,,
,,,пирог,  pie,,,,,,,,,,,,,,,,,,,,,,,
,,,свинья,  pig,,,,,,,,,,,,,,,,,,,,,,,
,,,ананас,  pineapple,,,,,,,,,,,,,,,,,,,,,,,
,,,настольный теннис,  ping pong,,,,,,,,,,,,,,,,,,,,,,,
,,,пицца,  pizza,,,,,,,,,,,,,,,,,,,,,,,
,,,планета,  planet,,,,,,,,,,,,,,,,,,,,,,,
,,,игральные карты ,  playing cards,,,,,,,,,,,,,,,,,,,,,,,
,,,полицейская машина,  police car,,,,,,,,,,,,,,,,,,,,,,,
,,,Попкорн,  popcorn,,,,,,,,,,,,,,,,,,,,,,,
,,,Почта,  post office,,,,,,,,,,,,,,,,,,,,,,,
,,,Питьевая вода,  potable water,,,,,,,,,,,,,,,,,,,,,,,
,,,картошка,  potato,,,,,,,,,,,,,,,,,,,,,,,
,,,куриная ножка,chicken-leg,,,,,,,,,,,,,,,,,,,,,,,
,,,головоломка,  puzzle,,,,,,,,,,,,,,,,,,,,,,,
,,,кролик,  rabbit,,,,,,,,,,,,,,,,,,,,,,,
,,,радуга,  rainbow,,,,,,,,,,,,,,,,,,,,,,,
,,,ресторан блюда,  restaurant,1,,,,,,,,,,,,,,,,,,,,,,
,,,кольцо ,  ring,,,,,,,,,,,,,,,,,,,,,,,
,,,робот,  robot,,,,,,,,,,,,,,,,,,,,,,,
,,,американские горки,  roller coaster,,,,,,,,,,,,,,,,,,,,,,,
,,,петух,  rooster,,,,,,,,,,,,,,,,,,,,,,,
,,,Роза,  rose,,,,,,,,,,,,,,,,,,,,,,,
,,,парусная лодка,  sailboat,,,,,,,,,,,,,,,,,,,,,,,
,,,бутерброд,  sandwich,,,,,,,,,,,,,,,,,,,,,,,
,,,Дед Мороз,  Santa Claus,1,,,,,,,,,,,,,,,,,,,,,,
,,,сауна,  sauna,,,,,,,,,,,,,,,,,,,,,,,
,,,саксофон,  saxophone,,,,,,,,,,,,,,,,,,,,,,,
,,,школа,  school,,,,,,,,,,,,,,,,,,,,,,,
,,,самокат,  scooter,,,,,,,,,,,,,,,,,,,,,,,
,,,море,  sea,1,,,,,,,,,,,,,,,,,,,,,,
,,,ракушки,  seashells,,,,,,,,,,,,,,,,,,,,,,,
,,,селфи,  selfie,,,,,,,,,,,,,,,,,,,,,,,
,,,поход по магазинам,  shopping,1,,,,,,,,,,,,,,,,,,,,,,
,,,корзина покупателя,  shopping cart,,,,,,,,,,,,,,,,,,,,,,,
,,,креветка,  shrimp,,,,,,,,,,,,,,,,,,,,,,,
,,,тротуар ,  sidewalk,,,,,,,,,,,,,,,,,,,,,,,
,,,певец,  singer,,,,,,,,,,,,,,,,,,,,,,,
,,,скейтпарк ,  skatepark ,,,,,,,,,,,,,,,,,,,,,,,
,,,кататься на лыжах,  ski,1,,,,,,,,,,,,,,,,,,,,,,
,,,лыжник,  skier,,,,,,,,,,,,,,,,,,,,,,,
,,,прыжки с парашютом,  skydiving,,,,,,,,,,,,,,,,,,,,,,,
,,,санки,  sled,,,,,,,,,,,,,,,,,,,,,,,
,,,снег,  snow,1,,,,,,,,,,,,,,,,,,,,,,
,,,снежная гора,  snow capped mountain,1,,,,,,,,,,,,,,,,,,,,,,
,,,сноубордист,  snowboarder,,,,,,,,,,,,,,,,,,,,,,,
,,,Снеговик,  snowman,,,,,,,,,,,,,,,,,,,,,,,
,,,снегоход,  snowmobile,,,,,,,,,,,,,,,,,,,,,,,
,,,футбольный мяч,  soccer ball,,,,,,,,,,,,,,,,,,,,,,,
,,,спагетти,  spaghetti,,,,,,,,,,,,,,,,,,,,,,,
,,,бенгальский огонь,  sparkler,,,,,,,,,,,,,,,,,,,,,,,
,,,спортивная машина,  sport car,,,,,,,,,,,,,,,,,,,,,,,
,,,спортивный зал,  sport gym,,,,,,,,,,,,,,,,,,,,,,,
,,,стадион,  stadium,,,,,,,,,,,,,,,,,,,,,,,
,,,звезда,  star,,,,,,,,,,,,,,,,,,,,,,,
,,,станция,  station,,,,,,,,,,,,,,,,,,,,,,,
,,,клубника,  strawberry,,,,,,,,,,,,,,,,,,,,,,,
,,,ученик,  student,,,,,,,,,,,,,,,,,,,,,,,
,,,солнце,  sun,,,,,,,,,,,,,,,,,,,,,,,
,,,подсолнечник,  sunflower,,,,,,,,,,,,,,,,,,,,,,,
,,,солнечные очки,  sunglasses,1,,,,,,,,,,,,,,,,,,,,,,
,,,Восход,  sunrise,,,,,,,,,,,,,,,,,,,,,,,
,,,закат,  sunset,,,,,,,,,,,,,,,,,,,,,,,
,,,серфинг,  surfing,,,,,,,,,,,,,,,,,,,,,,,
,,,суши,  sushi,,,,,,,,,,,,,,,,,,,,,,,
,,,лебедь,  swan,,,,,,,,,,,,,,,,,,,,,,,
,,,бассейн,  swimming pool,1,,,,,,,,,,,,,,,,,,,,,,
,,,тако,  taco,,,,,,,,,,,,,,,,,,,,,,,
,,,мандарин,  tangerine,,,,,,,,,,,,,,,,,,,,,,,
,,,чай,  tea,,,,,,,,,,,,,,,,,,,,,,,
,,,учитель,  teacher,,,,,,,,,,,,,,,,,,,,,,,
,,,телефон,  telephone,,,,,,,,,,,,,,,,,,,,,,,
,,,теннис,  tennis,,,,,,,,,,,,,,,,,,,,,,,
,,,палатка,  tent,,,,,,,,,,,,,,,,,,,,,,,
,,,проездной билет,  ticket,,,,,,,,,,,,,,,,,,,,,,,
,,,тигр,  tiger,,,,,,,,,,,,,,,,,,,,,,,
,,,помидор,  tomato,,,,,,,,,,,,,,,,,,,,,,,
,,,язык,  tongue,,,,,,,,,,,,,,,,,,,,,,,
,,,поезд ,  train,,,,,,,,,,,,,,,,,,,,,,,
,,,троллейбус,  trolleybus,,,,,,,,,,,,,,,,,,,,,,,
,,,трофей,  trophy,,,,,,,,,,,,,,,,,,,,,,,
,,,тропический лес,  tropic forest,,,,,,,,,,,,,,,,,,,,,,,
,,,тропический напиток,  tropical drink,,,,,,,,,,,,,,,,,,,,,,,
,,,индейка,  turkey,,,,,,,,,,,,,,,,,,,,,,,
,,,овощи,  vegetables,,,,,,,,,,,,,,,,,,,,,,,
,,,волейбол,  volleyball,,,,,,,,,,,,,,,,,,,,,,,
,,,вафля,  waffle,,,,,,,,,,,,,,,,,,,,,,,
,,,часы,  watch,,,,,,,,,,,,,,,,,,,,,,,
,,,волна воды,  water wave,,,,,,,,,,,,,,,,,,,,,,,
,,,арбуз,  watermelon,,,,,,,,,,,,,,,,,,,,,,,
,,,свадьба,  wedding,,,,,,,,,,,,,,,,,,,,,,,
,,,бокал для вина,  wine glass,,,,,,,,,,,,,,,,,,,,,,,
,,,женщина,  woman,,,,,,,,,,,,,,,,,,,,,,,
,,,яхта,  yacht,1,,,,,,,,,,,,,,,,,,,,,,
,,,йога,  yoga,,,,,,,,,,,,,,,,,,,,,,,
,,,зоопарк,  zoo,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,,,,,,,,,,,,,,,,,,,,,,